5.015250381259531309e+02 8.064050717974420579e-02
5.015500387509687812e+02 6.695634842509105844e-02
5.015750393759843746e+02 5.666751009340280365e-02
5.016000400010000249e+02 4.949455430400664241e-02
5.016250406260156751e+02 4.493587744586583638e-02
5.016500412510312685e+02 4.234247754850377354e-02
5.016750418760469188e+02 4.101033650369688421e-02
5.017000425010625122e+02 4.027443460798661723e-02
5.017250431260781625e+02 3.958862905752351391e-02
5.017500437510937559e+02 3.857894515158498405e-02
5.017750443761094061e+02 3.706346996765617213e-02
5.018000450011250564e+02 3.503873769262630389e-02
5.018250456261406498e+02 3.263880113757482160e-02
5.018500462511563001e+02 3.007779096670763069e-02
5.018750468761718935e+02 2.758880687890865116e-02
5.019000475011875437e+02 2.537121267893126600e-02
5.019250481262031371e+02 2.355520979798508135e-02
5.019500487512187874e+02 2.218784570918644339e-02
5.019750493762343808e+02 2.123955259357395223e-02
5.020000500012500311e+02 2.062606655909650713e-02
5.020250506262656813e+02 2.023801891833653527e-02
5.020500512512812747e+02 1.997001653399603158e-02
5.020750518762969250e+02 1.974250705757766081e-02
5.021000525013125184e+02 1.951257309636835260e-02
5.021250531263281687e+02 1.927316195521315903e-02
5.021500537513437621e+02 1.904324393085992870e-02
5.021750543763594123e+02 1.885330188231421761e-02
5.022000550013750626e+02 1.873103798566380651e-02
5.022250556263906560e+02 1.869129787999306361e-02
5.022500562514063063e+02 1.873237003449832253e-02
5.022750568764218997e+02 1.883864373191884711e-02
5.023000575014375499e+02 1.898775200167072616e-02
5.023250581264531434e+02 1.915928040705382543e-02
5.023500587514687936e+02 1.934210353597166226e-02
5.023750593764843870e+02 1.953831528592241823e-02
5.024000600015000373e+02 1.976317887456132544e-02
5.024250606265156875e+02 2.004203046149566347e-02
5.024500612515312810e+02 2.040613687119796626e-02
5.024750618765469312e+02 2.088980637901907689e-02
5.025000625015625246e+02 2.153050870466016037e-02
5.025250631265781749e+02 2.237256993609978983e-02
5.025500637515937683e+02 2.347356484602849264e-02
5.025750643766094186e+02 2.491130522798483404e-02
5.026000650016250688e+02 2.678872397296980234e-02
5.026250656266406622e+02 2.923419668124659435e-02
5.026500662516563125e+02 3.239588656851039028e-02
5.026750668766719059e+02 3.643025997718585957e-02
5.027000675016875562e+02 4.148655175116426619e-02
5.027250681267031496e+02 4.769018271006215254e-02
5.027500687517187998e+02 5.512857516800265256e-02
5.027750693767343932e+02 6.384232646578508197e-02
5.028000700017500435e+02 7.382340228663165915e-02
5.028250706267656938e+02 8.502025699915909118e-02
5.028500712517812872e+02 9.734807231419813356e-02
5.028750718767969374e+02 1.107011202498830588e-01
5.029000725018125308e+02 1.249639470829834870e-01
5.029250731268281811e+02 1.400187355443260062e-01
5.029500737518437745e+02 1.557476414624883732e-01
5.029750743768594248e+02 1.720306896194258306e-01
5.030000750018750750e+02 1.887414048464177985e-01
5.030250756268906684e+02 2.057432412158554103e-01
5.030500762519063187e+02 2.228897398867938362e-01
5.030750768769219121e+02 2.400301758297242183e-01
5.031000775019375624e+02 2.570205443075367358e-01
5.031250781269531558e+02 2.737376374199835261e-01
5.031500787519688060e+02 2.900923205070893296e-01
5.031750793769843995e+02 3.060375083207467206e-01
5.032000800020000497e+02 3.215670782639169500e-01
5.032250806270157000e+02 3.367039925057604965e-01
5.032500812520312934e+02 3.514787980568878645e-01
5.032750818770469436e+02 3.659027043057439532e-01
5.033000825020625371e+02 3.799417537433140146e-01
5.033250831270781873e+02 3.934994621323079644e-01
5.033500837520937807e+02 4.064142855669687360e-01
5.033750843771094310e+02 4.184754108942801976e-01
5.034000850021250812e+02 4.294561921878013999e-01
5.034250856271406747e+02 4.391599952490773395e-01
5.034500862521563249e+02 4.474693809535616462e-01
5.034750868771719183e+02 4.543874940124224548e-01
